name,type,uri
Covid cough,Mouth,https://bafybeidefvxv2rhzt26apifhthfapyrazgeselkomzpag2owkmnzu5r7ey.ipfs.w3s.link/Covid%20cough.png
Drooling,Mouth,https://bafybeidefvxv2rhzt26apifhthfapyrazgeselkomzpag2owkmnzu5r7ey.ipfs.w3s.link/Drooling.png
Evil smile,Mouth,https://bafybeidefvxv2rhzt26apifhthfapyrazgeselkomzpag2owkmnzu5r7ey.ipfs.w3s.link/Evil%20smile.png
Godzilla fire,Mouth,https://bafybeidefvxv2rhzt26apifhthfapyrazgeselkomzpag2owkmnzu5r7ey.ipfs.w3s.link/Godzilla%20fire.png
Humpf,Mouth,https://bafybeidefvxv2rhzt26apifhthfapyrazgeselkomzpag2owkmnzu5r7ey.ipfs.w3s.link/Humpf.png
Lip biting,Mouth,https://bafybeidefvxv2rhzt26apifhthfapyrazgeselkomzpag2owkmnzu5r7ey.ipfs.w3s.link/Lip%20biting.png
Nah,Mouth,https://bafybeidefvxv2rhzt26apifhthfapyrazgeselkomzpag2owkmnzu5r7ey.ipfs.w3s.link/Nah.png
Santa beard,Mouth,https://bafybeidefvxv2rhzt26apifhthfapyrazgeselkomzpag2owkmnzu5r7ey.ipfs.w3s.link/Santa%20beard.png
Uneaten leaves,Mouth,https://bafybeidefvxv2rhzt26apifhthfapyrazgeselkomzpag2owkmnzu5r7ey.ipfs.w3s.link/Uneaten%20leaves.png
Vape,Mouth,https://bafybeidefvxv2rhzt26apifhthfapyrazgeselkomzpag2owkmnzu5r7ey.ipfs.w3s.link/Vape.png
Yelling,Mouth,https://bafybeidefvxv2rhzt26apifhthfapyrazgeselkomzpag2owkmnzu5r7ey.ipfs.w3s.link/Yelling.png
Cool Sloth,Wrapper,https://bafybeidefvxv2rhzt26apifhthfapyrazgeselkomzpag2owkmnzu5r7ey.ipfs.w3s.link/Beetroot.png
Cool Sloth,Wrapper,https://bafybeidefvxv2rhzt26apifhthfapyrazgeselkomzpag2owkmnzu5r7ey.ipfs.w3s.link/Ghost.png
Cool Sloth,Wrapper,https://bafybeidefvxv2rhzt26apifhthfapyrazgeselkomzpag2owkmnzu5r7ey.ipfs.w3s.link/Golden.png
Cool Sloth,Wrapper,https://bafybeidefvxv2rhzt26apifhthfapyrazgeselkomzpag2owkmnzu5r7ey.ipfs.w3s.link/Hazelnut.png
Cool Sloth,Wrapper,https://bafybeidefvxv2rhzt26apifhthfapyrazgeselkomzpag2owkmnzu5r7ey.ipfs.w3s.link/Marshmallow.png
Cool Sloth,Wrapper,https://bafybeidefvxv2rhzt26apifhthfapyrazgeselkomzpag2owkmnzu5r7ey.ipfs.w3s.link/OG.png
Cool Sloth,Wrapper,https://bafybeidefvxv2rhzt26apifhthfapyrazgeselkomzpag2owkmnzu5r7ey.ipfs.w3s.link/Panda.png
Cool Sloth,Wrapper,https://bafybeidefvxv2rhzt26apifhthfapyrazgeselkomzpag2owkmnzu5r7ey.ipfs.w3s.link/Solar%20Spiral.png
Cool Sloth,Wrapper,https://bafybeidefvxv2rhzt26apifhthfapyrazgeselkomzpag2owkmnzu5r7ey.ipfs.w3s.link/Wheat.png
Cool Sloth,Wrapper,https://bafybeidefvxv2rhzt26apifhthfapyrazgeselkomzpag2owkmnzu5r7ey.ipfs.w3s.link/Zombie.png
